,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Speker,Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
154,Asus Fonepad Note FHD6,True,True,False,False,"2013, June. Released 2013, November",Discontinued,164.8 x 88.8 x 10.3 mm (6.49 x 3.50 x 0.41 in),210 g (7.41 oz),,Micro-SIM,Stylus,Super IPS+ LCD,"6.0 inches, 99.2 cm2 (~67.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,,"Android 4.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Intel Atom Z2580,Dual-core 2.0 GHz,PowerVR SGX544MP2,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","8 MP, AF",,1080p@30fps,1.2 MP,,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","3.0, A2DP, EDR","GPS, GLONASS",Yes,No,"microUSB 2.0, OTG","Accelerometer, proximity, compass","Li-Po 3200 mAh, non-removable (15 Wh)",,Up to 23 h,"White, Black",,,,About 350 EUR,,,"975,709 hits",
155,Asus Transformer Pad TF701T,True,False,False,False,"2013, June. Released 2013, November",Discontinued,263 x 180.8 x 8.9 mm (10.35 x 7.12 x 0.35 in),585 g (1.29 lb),,No,Optional mobile dock with standard QWERTY keyboard and trackpad,"Super IPS+ LCD,","10.1 inches, 295.8 cm2 (~62.2% screen-to-body ratio)","2560 x 1600 pixels, 16:10 ratio (~299 ppi density)",Corning Gorilla Glass 2,,Android 4.2 (Jelly Bean),Nvidia Tegra 4 T40X,Quad-core 1.9 GHz Cortex-A15,ULP GeForce,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM","5 MP, AF",HDR,1080p@30fps,1.2 MP,,720p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct","3.0, A2DP, EDR",GPS,No,No,microUSB 2.0,"Accelerometer, gyro, compass",Li-Po (31 Wh),,Up to 13 h (multimedia),Silver,,,,About 400 EUR,,,"399,623 hits",
156,Asus Memo Pad FHD10,True,False,False,False,"2013, June. Released 2013, August",Discontinued,264.6 x 182.4 x 9.5 mm (10.42 x 7.18 x 0.37 in),580 g (1.28 lb),,No,,"IPS LCD,","10.0 inches, 290.0 cm2 (~60.1% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~226 ppi density)",,,"Android 4.2 (Jelly Bean), upgradable to 4.3 (Jelly Bean), Waveshare UI",Intel Atom Z2560,Dual-core 1.6 GHz,PowerVR SGX544MP2,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM","5 MP, AF",,1080p@30fps,1.2 MP,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",3.0,GPS,No,No,2.0,"Accelerometer, gyro, compass","Li-Ion 6760 mAh, non-removable (25 Wh)",,Up to 10 h (multimedia),"Royal Blue, Silk White, Vivid Pink",,,,,,,"354,951 hits",
157,Asus Memo Pad HD7 8 GB,True,False,False,False,"2013, June. Released 2013, July",Discontinued,196.8 x 120.6 x 10.8 mm (7.75 x 4.75 x 0.43 in),302 g (10.65 oz),,No,,IPS LCD,"7.0 inches, 142.1 cm2 (~59.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,,"Android 4.2 (Jelly Bean), upgradable to 4.2.2 (Jelly Bean), Waveshare UI",Mediatek MT8125 (28 nm),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,microSDHC (dedicated slot),8GB 1GB RAM,2 MP,,720p@30fps,VGA,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP",GPS,No,No,microUSB 2.0,"Accelerometer, compass",Li-Po (15 Wh),,Up to 10 h (multimedia),"Black, Gray, White, Pink, Green",,,,About 100 EUR,,,"228,601 hits",
158,Asus Memo Pad HD7 16 GB,True,False,False,False,"2013, June. Released 2013, July",Discontinued,196.8 x 120.6 x 10.8 mm (7.75 x 4.75 x 0.43 in),302 g (10.65 oz),,No,,IPS LCD,"7.0 inches, 142.1 cm2 (~59.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,,"Android 4.2 (Jelly Bean), upgradable to 4.2.2 (Jelly Bean), Waveshare UI",Mediatek MT8125 (28 nm),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",,1080p@30fps,1.2 MP,,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP",GPS,No,No,microUSB 2.0,"Accelerometer, compass",Li-Po (15 Wh),,Up to 10 h (multimedia),"Black, Gray, White, Pink, Green",ME173X,,,About 130 EUR,,,"1,098,630 hits",
159,Asus Fonepad,True,True,False,False,"2013, February. Released 2013, April",Discontinued,196.4 x 120.1 x 10.4 mm (7.73 x 4.73 x 0.41 in),340 g (11.99 oz),,Micro-SIM,,IPS LCD,"7.0 inches, 142.1 cm2 (~60.2% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",,,Android 4.1 (Jelly Bean),Intel Atom Z2420 / Intel Atom Z2460,1.2 GHz / 1.6 GHz,PowerVR SGX540,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM","3.15 MP, AF (selected markets only)",,720p,1.2 MP,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","GPS, GLONASS",No,No,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 4270 mAh, non-removable (16 Wh)",,Up to 9 h (multimedia),"Titanium Gray, Champagne Gold",,,,About 260 EUR,,,"2,119,264 hits",
160,Asus PadFone Infinity,True,True,True,False,"2013, February. Released 2013, April",Discontinued,143.5 x 72.8 x 8.9 mm (5.65 x 2.87 x 0.35 in),141 g (4.97 oz),,Nano-SIM,"Padfone Station with 10.1 inches IPS display, 1920 x 1200 pixels, 5000 mAh battery, 1 MP front camera. 264.6 x 181.6 x 10.7mm, 530g.",Super IPS+ LCD,"5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Corning Gorilla Glass,,"Android 4.1.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Qualcomm APQ8064T Snapdragon 600,Quad-core 1.7 GHz Krait,Adreno 320,No,"32GB 2GB RAM, 64GB 2GB RAM","13 MP, AF",LED flash,1080p@30fps,2 MP,,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","GPS, GLONASS",Yes,FM radio,"microUSB 2.0 (SlimPort TV-out), OTG","Accelerometer, gyro, proximity, compass","Li-Po 2400 mAh, non-removable",,Up to 19 h,"Titanium Gray, Champagne Gold, Hot Pink",,,,About 1000 EUR,,,"1,215,033 hits",
161,Asus Memo Pad Smart 10,True,False,False,False,"2013, February. Released 2013, May",Discontinued,263 x 180.8 x 9.9 mm (10.35 x 7.12 x 0.39 in),580 g (1.28 lb),,No,,LED-backlit IPS LCD,"10.1 inches, 295.8 cm2 (~62.2% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",,,Android 4.1 (Jelly Bean),Nvidia Tegra 3 T33,Quad-core 1.2 GHz,ULP GeForce,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",,Yes,1.2 MP,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual band","3.0, A2DP, EDR",GPS,No,No,microUSB 2.0,"Accelerometer, gyro, compass",Li-Po (19 Wh),,Up to 8 h 30 min (multimedia),"Crystal White, Midnight Blue, Fuchsia Pink",,,,About 230 EUR,,,"419,829 hits",
162,Asus Memo Pad ME172V,True,False,False,False,"2013, January. Released 2013, January",Discontinued,196.2 x 119.2 x 11.2 mm (7.72 x 4.69 x 0.44 in),370 g (13.05 oz),,No,,"LED-backlit LCD,","7.0 inches, 137.9 cm2 (~59.0% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,,Android 4.1 (Jelly Bean),VIA WM8950,1.0 GHz,Mali-400,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM",1 MP,,720p,No,,,Yes,Yes,Wi-Fi 802.11 b/g/n,No,No,No,No,microUSB 2.0,Accelerometer,"Li-Po 4270 mAh, non-removable (16 Wh)",,Up to 7 h (multimedia),"Sugar White, Titanium Gray, Cherry Pink",,,,About 110 EUR,,,"1,292,087 hits",
163,Asus Google Nexus 7 Cellular,True,True,False,False,"2012, October. Released 2012, November",Discontinued,198.5 x 120 x 10.5 mm (7.81 x 4.72 x 0.41 in),347 g (12.24 oz),,Micro-SIM,,LED-backlit IPS LCD,"7.0 inches, 142.1 cm2 (~59.6% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Corning Gorilla Glass,,"Android 4.1 (Jelly Bean), upgradable to 5.1.1 (Lollipop)",Nvidia Tegra 3,Quad-core 1.2 GHz Cortex-A9,ULP GeForce,No,"16GB 1GB RAM, 32GB 1GB RAM",1.2 MP,,720p,No,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot",3.0,GPS,Yes,No,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 4325 mAh, non-removable (16 Wh)",,Up to 9 h (multimedia),Black,,,,About 230 EUR,,,"1,205,363 hits",
