id,brand,model,date,year,display_size_inches,display_size_inches_scale,internal_memory_in_gb,internal_memory_in_gb_scale,primary_camera_mega_pixel,primary_camera_mega_pixel_scale,primary_camera,loud_speaker,gps,colors,approx_price_eur,approx_price_eur_scale,announced,battery_mah,battery_mah_scale,ram_in_gb,ram_in_gb_scale
Lava X38,Lava,X38,2016-07-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| LED flash,Yes,Yes with A-GPS,Black,,,2016  July,4000.0,1.0553593646258617,1.0,-0.33800768815695953
Lava A32,Lava,A32,2016-07-01,2016.0,4.0,-1.1627021238930724,0.4980544747081712,-0.8069767025410026,2.0,-1.9550932106551666,2 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2016  July,1500.0,-1.3260663202869127,0.2490272373540856,-0.4998336646939569
Lava A68,Lava,A68,2016-06-01,2016.0,4.5,-0.7082650311829171,8.0,-0.5755952629817532,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Black| Gold| Silver,,,2016  June,1750.0,-1.0879237517956353,1.0,-0.33800768815695953
Lava X50,Lava,X50,2016-07-01,2016.0,5.5,0.20060915423739348,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Blue,,,2016  July,2800.0,-0.08772496413226998,2.0,-0.12251921162841899
Lava X17,Lava,X17,2016-07-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Gold| Black/Gold| White/Gold,,,2016  July,2350.0,-0.5163815874165694,1.0,-0.33800768815695953
Lava X81,Lava,X81,2016-06-01,2016.0,5.0,-0.2538279384727618,16.0,-0.32885240004927585,13.0,0.5592173485022539,13 MP| f/2.0| autofocus| dual-LED flash,Yes,Yes with A-GPS GLONASS,Space Grey/Gold,,,2016  June,2700.0,-0.18298199152878095,3.0,0.09296926490012156
Lava X46,Lava,X46,2016-06-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,8.0,-0.5836510874783918,8 MP| LED flash,Yes,Yes with A-GPS,Black,,,2016  June,2500.0,-0.3734960463218029,2.0,-0.12251921162841899
Lava A89,Lava,A89,2016-05-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2016  May,2000.0,-0.8497811833043578,1.0,-0.33800768815695953
Lava A82,Lava,A82,2016-06-01,2016.0,5.0,-0.2538279384727618,8.0,-0.5755952629817532,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2016  June,2000.0,-0.8497811833043578,1.0,-0.33800768815695953
Lava A79,Lava,A79,2016-05-01,2016.0,5.5,0.20060915423739348,8.0,-0.5755952629817532,5.0,-1.269372149066779,5 MP| LED flash,Yes,Yes with A-GPS,Black| White,,,2016  May,2200.0,-0.6592671285113358,1.0,-0.33800768815695953
