id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,announced,battery_mah,ram_in_gb
Coolpad Modena 2,Coolpad,Modena 2,2016-09-01,2016.0,5.5,16.0,8.0,8 MP| f/2.2| autofocus| LED flash,Yes,Yes with A-GPS,Gold| Black,180.0,2016  September,2500.0,2.0
Coolpad Mega,Coolpad,Mega,2016-08-01,2016.0,5.5,16.0,8.0,8 MP| f/2.2| autofocus| LED flash,Yes,Yes with A-GPS,Gold| White| Black,80.0,2016  August,2500.0,3.0
Coolpad Torino,Coolpad,Torino,2016-07-01,2016.0,5.5,16.0,13.0,13 MP| f/2.2| autofocus| LED flash,Yes,Yes with A-GPS,White/Gold,200.0,2016  July,2500.0,3.0
Coolpad Note 3 Plus,Coolpad,Note 3 Plus,2016-07-01,2016.0,5.5,16.0,13.0,13 MP| f/2.0| autofocus| LED flash,Yes,Yes with A-GPS,Champagne Gold| White,120.0,2016  May,3000.0,3.0
Coolpad Max,Coolpad,Max,2016-06-01,2016.0,5.5,64.0,13.0,13 MP| f/2.0| phase detection autofocus| dual-LED (dual tone) flash,Yes,Yes with A-GPS GLONASS,Royal Gold| Rose Gold,380.0,2016  June,2800.0,4.0
Coolpad Porto S,Coolpad,Porto S,2016-03-01,2016.0,5.0,8.0,8.0,8 MP| f/2.4| autofocus| dual-LED flash,Yes,Yes with A-GPS GLONASS,White,130.0,2016  January,2000.0,1.0
Coolpad Torino S,Coolpad,Torino S,2016-03-01,2016.0,4.7,16.0,8.0,8 MP| f/2.2| autofocus| dual-LED flash,Yes,Yes with A-GPS GLONASS,Various,180.0,2016  January,1800.0,2.0
Coolpad Note 3 Lite,Coolpad,Note 3 Lite,2016-01-01,2016.0,5.0,16.0,13.0,13 MP| f/2.0| autofocus| LED flash,Yes with stereo speakers,Yes with A-GPS,Black| White| Champagne white,110.0,2016  January,2500.0,3.0
Coolpad Roar,Coolpad,Roar,2015-11-01,2015.0,4.5,8.0,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black,,2015  November,1800.0,1.0
Coolpad Note 3,Coolpad,Note 3,2015-10-01,2015.0,5.5,16.0,13.0,13 MP| f/2.0| autofocus| LED flash,Yes,Yes with A-GPS,White,120.0,2015  October,3000.0,3.0
Coolpad Shine,Coolpad,Shine,2015-10-01,2015.0,5.5,8.0,13.0,13 MP| autofocus| LED flash,Yes,Yes with A-GPS,Gold,200.0,2015  October,2500.0,2.0
Coolpad Modena,Coolpad,Modena,2015-08-01,2015.0,5.5,8.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS GLONASS,White,160.0,2015  August,2500.0,1.0
Coolpad Porto,Coolpad,Porto,2015-08-01,2015.0,4.7,8.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS GLONASS,White,150.0,2015  August,1800.0,1.0
Dell Venue 10 7000,Dell,Venue 10 7000,2015-05-01,2015.0,10.5,32.0,8.0,8 MP| autofocus,Yes with stereo speakers,Yes with A-GPS,Black,460.0,2015  April,7000.0,2.0
Dell Venue 8 7000,Dell,Venue 8 7000,2015-01-01,2015.0,8.4,32.0,8.0,8 MP| f/2.4| autofocus,Yes with stereo speakers,Yes with A-GPS,Black,250.0,2014  October,,2.0
Dell Venue 8,Dell,Venue 8,2013-10-01,2013.0,8.0,32.0,5.0,5 MP,Yes,Yes with A-GPS,Black,130.0,2013  October,4100.0,2.0
Dell Venue 7,Dell,Venue 7,2013-10-01,2013.0,7.0,16.0,15.0,3.15 MP,Yes,Yes with A-GPS,Black| Red,100.0,2013  October,4100.0,2.0
Dell XPS 10,Dell,XPS 10,2012-12-01,2012.0,10.1,64.0,5.0,5 MP| autofocus,Yes with stereo speakers,Yes with A-GPS (with LTE/HSPA+ configs),Black,380.0,2012  Q4,,
Dell Streak Pro D43,Dell,Streak Pro D43,2012-09-01,2012.0,4.3,8.0,8.0,8 MP| autofocus| LED flash,Yes,Yes with A-GPS,Black,450.0,2011  December,1520.0,1.0
Dell Streak 7,Dell,Streak 7,2011-03-01,2011.0,7.0,16.0,5.0,5 MP| autofocus| LED flash,Yes,Yes with A-GPS,Gray,210.0,2011  February,2780.0,
