id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,battery_mah,ram_in_gb,weight,weight_g,weight_oz
Benefon Vega,Benefon,Vega,1999-01-01,1999.0,,,,,No,No,V1,,,,190 g (6.70 oz),190.0,6.7
Garmin-Asus nuvifone M10,Garmin-Asus,nuvifone M10,2010-03-01,2010.0,3.5,4.0,5.0,,Yes,"Yes, with A-GPS","Black, White",310.0,1500.0,0.4980544747081712,-,,
Gigabyte GSmart G1305 Boston,Gigabyte,GSmart G1305 Boston,2010-04-01,2010.0,3.2,0.2490272373540856,5.0,LED flash,Yes,"Yes, with A-GPS","Black, White",110.0,1230.0,0.2490272373540856,118 g (4.16 oz),118.0,4.16
Gigabyte GSmart,Gigabyte,GSmart,,,2.8,0.2490272373540856,2.0,,Yes,"Yes, with A-GPS",Black,,1500.0,0.2490272373540856,-,,
Google Pixel 4 XL,Google,Pixel 4 XL,2019-10-01,2019.0,6.3,64.0,2.0,"Dual-LED flash, Auto-HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, BDS, GALILEO","Clearly White, Just Black, Oh So Orange",599.0,3700.0,6.0,193 g (6.81 oz),193.0,6.81
Google Pixel 4,Google,Pixel 4,2019-10-01,2019.0,5.7,64.0,2.0,"Dual-LED flash, Auto-HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, BDS, GALILEO","Clearly White, Just Black, Oh So Orange",524.52,2800.0,6.0,162 g (5.71 oz),162.0,5.71
Google Pixel 3a XL,Google,Pixel 3a XL,2019-05-01,2019.0,6.0,64.0,2.0,"Dual-LED flash, HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, GALILEO","Just Black, Clearly White, Purple-ish",329.0,3700.0,4.0,167 g (5.89 oz),167.0,5.89
Google Pixel 3a,Google,Pixel 3a,2019-05-01,2019.0,5.6,64.0,2.0,"Dual-LED flash, HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, GALILEO","Just Black, Clearly White, Purple-ish",304.0,3000.0,4.0,147 g (5.19 oz),147.0,5.19
Haier N60,Haier,N60,2005-01-01,2005.0,,0.058365758754863814,3.0,,Yes,No,V1,,900.0,,131 g (4.62 oz),131.0,4.62
Haier T3000,Haier,T3000,2005-01-01,2005.0,,0.0038910505836575876,,,No,No,V1,,600.0,,85 g (3.00 oz),85.0,3.0
Haier V280,Haier,V280,2005-01-01,2005.0,,0.0038910505836575876,3.0,LED flash,No,No,V1,,550.0,,80 g (2.82 oz),80.0,2.82
Haier V190,Haier,V190,2004-01-01,2004.0,,0.0019455252918287938,,,No,No,V1,,720.0,,90 g (3.17 oz),90.0,3.17
Haier V100,Haier,V100,2004-01-01,2004.0,,0.0019455252918287938,,,No,No,V1,,600.0,,90 g (3.17 oz),90.0,3.17
Haier P5,Haier,P5,2003-01-01,2003.0,,,,,No,No,V1,,520.0,,75 g (2.65 oz),75.0,2.65
Haier Z8000,Haier,Z8000,2004-01-01,2004.0,,0.0311284046692607,,,No,No,V1,,600.0,,90 g (3.17 oz),90.0,3.17
Honor 8S 2020,Honor,8S 2020,2020-05-01,2020.0,5.71,64.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Navy Blue, Midnight Black, Green",110.0,3020.0,3.0,146 g (5.15 oz),146.0,5.15
Honor Play4,Honor,Play4,2020-06-01,2020.0,6.81,128.0,64.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue, Light Blue",250.0,4300.0,8.0,213 g (7.51 oz),213.0,7.51
Honor Play4 Pro,Honor,Play4 Pro,2020-06-01,2020.0,6.57,128.0,40.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, BDS","Black, Blue, Light Blue",360.0,4200.0,8.0,213 g (7.51 oz),213.0,7.51
Honor X10 5G,Honor,X10 5G,2020-05-01,2020.0,6.63,64.0,40.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, BDS","Blue, Orange, Black, Silver",,4300.0,6.0,203 g (7.16 oz),203.0,7.16
Honor V6,Honor,V6,2020-06-01,2020.0,10.4,64.0,13.0,"LED flash, HDR, panorama","Yes, with stereo speakers","Yes, GLONASS, BDS","Green, Silver, Black",280.0,7250.0,6.0,480 g (1.06 lb),480.0,16.96
Honor 9A,Honor,9A,2020-05-01,2020.0,6.3,64.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue, Green",140.0,5000.0,3.0,185 g (6.53 oz),185.0,6.53
Honor 9C,Honor,9C,2020-05-01,2020.0,6.39,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue",160.0,4000.0,4.0,176 g (6.21 oz),176.0,6.21
Honor 9S,Honor,9S,2020-05-01,2020.0,5.45,32.0,8.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue, Red",90.0,3020.0,2.0,144 g (5.08 oz),144.0,5.08
Honor 9X Lite,Honor,9X Lite,2020-05-01,2020.0,6.5,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Emerald Green, Midnight Black",179.99,3750.0,4.0,188 g (6.63 oz),188.0,6.63
Honor 30 Pro+,Honor,30 Pro+,2020-04-01,2020.0,6.57,256.0,50.0,"LED flash, panorama, HDR","Yes, with stereo speakers","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC","Titanium silver, Emerald Green, Midnight Black",,4000.0,8.0,190 g (6.70 oz),190.0,6.7
Honor 30 Pro,Honor,30 Pro,2020-04-01,2020.0,6.57,128.0,40.0,"LED flash, panorama, HDR","Yes, with stereo speakers","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC","Titanium silver, Emerald Green, Midnight Black, Icelandic Frost, Neon purple",,4000.0,8.0,186 g (6.56 oz),186.0,6.56
Honor 30,Honor,30,2020-04-01,2020.0,6.53,128.0,40.0,"LED flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Titanium silver, Emerald Green, Midnight Black, Icelandic Frost, Neon purple",,4000.0,6.0,185 g (6.53 oz),185.0,6.53
Honor 20e,Honor,20e,2020-04-01,2020.0,6.21,64.0,24.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS","Midnight Black, Phantom Blue",180.0,3400.0,4.0,164 g (5.78 oz),164.0,5.78
Honor Play 4T Pro,Honor,Play 4T Pro,2020-04-01,2020.0,6.3,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue, Green",200.0,4000.0,6.0,165 g (5.82 oz),165.0,5.82
Honor Play 4T,Honor,Play 4T,2020-04-01,2020.0,6.39,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue, Green",160.0,4000.0,6.0,176 g (6.21 oz),176.0,6.21
Honor 8A 2020,Honor,8A 2020,2020-04-01,2020.0,6.09,64.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Black, Blue",,3020.0,3.0,150 g (5.29 oz),150.0,5.29
Honor 8A Prime,Honor,8A Prime,2020-03-01,2020.0,6.09,64.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue, Green",110.0,3020.0,3.0,150 g (5.29 oz),150.0,5.29
Honor 30S,Honor,30S,2020-04-01,2020.0,6.5,128.0,64.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Blue, Green, Gradient, Butterfly Feather Red",,4000.0,8.0,190 g (6.70 oz),190.0,6.7
Honor Play 9A,Honor,Play 9A,2020-04-01,2020.0,6.3,64.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Blue Water Emerald, Jasper Green, Dark Night Black",120.0,5000.0,4.0,185 g (6.53 oz),185.0,6.53
Honor View30 Pro,Honor,View30 Pro,2020-04-01,2020.0,6.57,128.0,40.0,"LED flash, HDR, panorama",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Ocean Blue, Midnight Black, Icelandic frost, Sunrise Orange",,4100.0,8.0,206 g (7.27 oz),206.0,7.27
Honor View30,Honor,View30,2020-04-01,2020.0,6.57,128.0,40.0,"LED flash, HDR, panorama",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Ocean Blue, Midnight Black, Icelandic Frost, Sunrise Orange",,4200.0,6.0,213 g (7.51 oz),213.0,7.51
Honor V30 Pro,Honor,V30 Pro,2019-12-01,2019.0,6.57,128.0,40.0,"LED flash, HDR, panorama",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Ocean Blue, Galaxy Black, Icelandic frost",500.0,4100.0,8.0,206 g (7.27 oz),206.0,7.27
Honor 9X,Honor,9X,2019-11-01,2019.0,6.59,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Midnight Black, Sapphire Blue",199.99,4000.0,4.0,196.8 g (6.95 oz),196.8,6.95
Honor 20 lite (China),Honor,20 lite (China),2019-10-01,2019.0,6.3,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Green, Blue/Pink",220.0,4000.0,4.0,171.5 g (6.07 oz),171.5,6.07
Honor Play 3e,Honor,Play 3e,2019-09-01,2019.0,5.71,32.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Magic Night Black, Platinum Gold, Aurora Blue",90.0,3020.0,2.0,146 g (5.15 oz),146.0,5.15
Honor Play 3,Honor,Play 3,2019-09-01,2019.0,6.39,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Magic Night Black, Aurora Blue, Charm Red",130.0,4000.0,4.0,176 g (6.21 oz),176.0,6.21
Honor 20S,Honor,20S,2019-10-01,2019.0,6.26,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Blue, White",250.0,3750.0,6.0,172 g (6.07 oz),172.0,6.07
Honor 9X Pro,Honor,9X Pro,2019-08-01,2019.0,6.59,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Midnight Black, Phantom Purple",,4000.0,8.0,202 g (7.13 oz),202.0,7.13
Honor 9X (China),Honor,9X (China),2019-07-01,2019.0,6.59,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Magic Night Black, Charm Sea Blue, Charm Red, Icelandic White",180.0,4000.0,4.0,206 g (7.27 oz),206.0,7.27
Honor 8S,Honor,8S,2019-04-01,2019.0,5.71,32.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Gold, Blue",120.0,3020.0,2.0,146 g (5.15 oz),146.0,5.15
Honor Pad 5 10.1,Honor,Pad 5 10.1,2019-07-01,2019.0,10.1,32.0,5.0,,"Yes, with stereo speakers","Yes, with A-GPS (LTE model), GLONASS, BDS",Glacial Blue,250.0,5100.0,3.0,-,,
Honor Pad 5 8,Honor,Pad 5 8,2019-07-01,2019.0,8.0,32.0,8.0,,"Yes, with stereo speakers","Yes, with A-GPS, GLONASS","Champagne Gold, Dark Gray, Glacial Blue",200.0,5100.0,3.0,-,,
Honor 20 Pro,Honor,20 Pro,2019-07-01,2019.0,6.26,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS","Phantom Blue, Phantom Black, Icelandic Illusion",399.99,4000.0,8.0,182 g (6.42 oz),182.0,6.42
Honor 20,Honor,20,2019-06-01,2019.0,6.26,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS","Midnight Black, Sapphire Blue, Icelandic white, Phantom Blue",295.98,3750.0,6.0,174 g (6.14 oz),174.0,6.14
Honor 20 lite,Honor,20 lite,2019-04-01,2019.0,6.21,128.0,24.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Phantom Blue, Phantom Red, Magic Night Black",179.99,3400.0,4.0,164 g (5.78 oz),164.0,5.78
HTC U20 5G,HTC,U20 5G,2020-07-01,2020.0,6.8,256.0,48.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Green, White",,5000.0,8.0,215.5 g (7.62 oz),215.5,7.62
HTC Desire 20 Pro,HTC,Desire 20 Pro,2020-07-01,2020.0,6.5,128.0,48.0,"Dual-LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Smoky Black, Pretty Blue",,5000.0,6.0,201 g (7.09 oz),201.0,7.09
HTC Wildfire R70,HTC,Wildfire R70,2020-09-01,2020.0,6.53,32.0,16.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO","Aurora Blue, Night black",,4000.0,2.0,186 g (6.56 oz),186.0,6.56
HTC Desire 19s,HTC,Desire 19s,2019-11-01,2019.0,6.2,32.0,13.0,"Dual-LED dual-tone flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Blue, Black",180.0,3850.0,3.0,170 g (6.00 oz),170.0,6.0
HTC Exodus 1s,HTC,Exodus 1s,2019-12-01,2019.0,5.7,64.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS",Black,220.0,3075.0,4.0,150 g (5.29 oz),150.0,5.29
HTC Wildfire X,HTC,Wildfire X,2019-08-01,2019.0,6.2,32.0,12.0,"Dual-LED dual-tone flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS",Sapphire Blue,150.0,3300.0,3.0,160 g (5.64 oz),160.0,5.64
HTC U19e,HTC,U19e,2019-06-01,2019.0,6.0,128.0,12.0,"Dual-LED dual-tone flash, Auto HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS","Extraordinary Purple, Modest Green",420.0,3930.0,6.0,180 g (6.35 oz),180.0,6.35
HTC Desire 19+,HTC,Desire 19+,2019-08-01,2019.0,6.2,64.0,13.0,"Dual-LED dual-tone flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Star Can Blue, Jasmine White",280.0,3850.0,4.0,170 g (6.00 oz),170.0,6.0
HTC Schubert,HTC,Schubert,,,,,,,Yes,,Black,,,,-,,
Huawei Enjoy 20 Pro,Huawei,Enjoy 20 Pro,2020-06-01,2020.0,6.5,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Magic Night Black, Dark Blue, Galaxy Silver",250.0,4000.0,6.0,192 g (6.77 oz),192.0,6.77
Huawei Enjoy Z 5G,Huawei,Enjoy Z 5G,2020-06-01,2020.0,6.5,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Breathing Crystal, Midnight Black, Dark Blue",220.0,4000.0,6.0,182 g (6.42 oz),182.0,6.42
Huawei P Smart S,Huawei,P Smart S,2020-06-01,2020.0,6.3,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Breathing Crystal, Midnight Black",260.0,4000.0,4.0,163 g (5.75 oz),163.0,5.75
Huawei Y8p,Huawei,Y8p,2020-06-01,2020.0,6.3,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Breathing Crystal, Midnight Black",240.0,4000.0,4.0,163 g (5.75 oz),163.0,5.75
Huawei P40 lite 5G,Huawei,P40 lite 5G,2020-05-01,2020.0,6.5,128.0,64.0,"LED flash, Panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Crush Green, Space Silver, Midnight Black",399.0,4000.0,6.0,189 g (6.67 oz),189.0,6.67
Huawei P30 Pro New Edition,Huawei,P30 Pro New Edition,2020-06-01,2020.0,6.47,256.0,40.0,"Leica optics, dual-LED dual-tone flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Aurora, Black, Silver Frost",745.0,4200.0,8.0,192 g (6.77 oz),192.0,6.77
Huawei MatePad T8,Huawei,MatePad T8,2020-05-01,2020.0,8.0,16.0,5.0,,Yes,"Yes, with A-GPS, GLONASS, BDS",Deepsea Blue,100.0,5100.0,2.0,310 g (10.93 oz),310.0,10.93
Huawei Y8s,Huawei,Y8s,2020-05-01,2020.0,6.5,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Emerald Green, Midnight Black",,4000.0,4.0,180 g (6.35 oz),180.0,6.35
Huawei Y6p,Huawei,Y6p,2020-05-01,2020.0,6.3,32.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Phantom Purple, Emerald Green, Midnight Black",145.0,5000.0,3.0,185 g (6.53 oz),185.0,6.53
Huawei Y5p,Huawei,Y5p,2020-05-01,2020.0,5.45,32.0,8.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Mint Green, Midnight Black, Phantom Blue",94.13,3020.0,2.0,144 g (5.08 oz),144.0,5.08
Huawei P smart 2020,Huawei,P smart 2020,2020-05-01,2020.0,6.21,128.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Midnight Black, Aurora Blue, Green",199.0,3400.0,4.0,160 g (5.64 oz),160.0,5.64
Huawei nova 7 Pro 5G,Huawei,nova 7 Pro 5G,2020-04-01,2020.0,6.57,128.0,64.0,"Dual-LED dual-tone flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Red, Purple, Green, Blue",,4000.0,8.0,178 g (6.28 oz),178.0,6.28
Huawei nova 7 5G,Huawei,nova 7 5G,2020-04-01,2020.0,6.53,128.0,64.0,"LED flash, Panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","Black, Space Silver, Midsummer Purple, Red, Green",,4000.0,8.0,180 g (6.35 oz),180.0,6.35
Huawei nova 7 SE,Huawei,nova 7 SE,2020-04-01,2020.0,6.5,128.0,64.0,"LED flash, Panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","Black, Space Silver, Midsummer Purple, Crush Green",320.0,4000.0,8.0,189 g (6.67 oz),189.0,6.67
Huawei MatePad,Huawei,MatePad,2020-04-01,2020.0,10.4,64.0,8.0,"LED flash, HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, BDS (LTE model only)","White, Gray",250.0,7250.0,4.0,450 g (0.99 lb),450.0,15.84
Huawei P40 Pro+,Huawei,P40 Pro+,2020-06-01,2020.0,6.58,256.0,50.0,"Leica optics, LED flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC","White Ceramic, Black Ceramic",1400.0,4200.0,8.0,226 g (7.97 oz),226.0,7.97
Huawei P40 Pro,Huawei,P40 Pro,2020-04-01,2020.0,6.58,128.0,50.0,"Leica optics, LED flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC","Silver Frost, Blush Gold, Deep Sea Blue, Ice White, Black",899.0,4200.0,8.0,209 g (7.37 oz),209.0,7.37
Huawei P40,Huawei,P40,2020-04-01,2020.0,6.1,128.0,50.0,"Leica optics, LED flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC","Silver Frost, Blush Gold, Deep Sea Blue, Ice White, Black",744.99,3800.0,6.0,175 g (6.17 oz),175.0,6.17
Huawei P40 lite E,Huawei,P40 lite E,2020-03-01,2020.0,6.39,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Aurora Blue, , Midnight Black",160.0,4000.0,4.0,176 g (6.21 oz),176.0,6.21
Huawei P40 lite,Huawei,P40 lite,2020-03-01,2020.0,6.4,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","Black, Emerald Green, Light Pink/Blue",217.99,4200.0,6.0,183 g (6.46 oz),183.0,6.46
Huawei MatePad Pro 5G,Huawei,MatePad Pro 5G,2020-05-01,2020.0,10.8,128.0,13.0,"LED flash, HDR, panorama","Yes, with stereo speakers (4 speakers)","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","Gray, White, Green, Orange",550.0,7250.0,6.0,460 g (1.01 lb),460.0,16.16
Huawei Mate Xs,Huawei,Mate Xs,2020-03-01,2020.0,8.0,512.0,40.0,"Leica optics, dual-LED dual-tone flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS",Interstellar Blue,,4500.0,8.0,300 g (10.58 oz),300.0,10.58
Huawei P30 lite New Edition,Huawei,P30 lite New Edition,2020-01-01,2020.0,6.15,256.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Peacock Blue, Midnight Black, Pearl White, Breathing Crystal",237.0,3340.0,6.0,152.9 g (5.40 oz),152.9,5.4
Huawei Y7p,Huawei,Y7p,2020-02-01,2020.0,6.39,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Aurora Blue, Midnight Black",140.0,4000.0,4.0,176 g (6.21 oz),176.0,6.21
Huawei nova 7i,Huawei,nova 7i,2020-02-01,2020.0,6.4,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","Midnight Black, Crush Green, Sakura Pink",,4200.0,8.0,183 g (6.46 oz),183.0,6.46
Huawei Y6s (2019),Huawei,Y6s (2019),2020-05-01,2020.0,6.09,32.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Orchid Blue, Starry Black",123.5,3020.0,3.0,150 g (5.29 oz),150.0,5.29
Huawei P smart Pro 2019,Huawei,P smart Pro 2019,2019-12-01,2019.0,6.59,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Midnight Black, Breathing Crystal",290.0,4000.0,6.0,206 g (7.27 oz),206.0,7.27
Huawei nova 6 5G,Huawei,nova 6 5G,2019-12-01,2019.0,6.57,128.0,40.0,"Panorama, HDR, LED flash",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Blue, Red, Provence",,4200.0,8.0,212 g (7.48 oz),212.0,7.48
Huawei nova 6,Huawei,nova 6,2019-12-01,2019.0,6.57,128.0,40.0,"Panorama, HDR, LED flash",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Blue, Red, Provence",,4100.0,8.0,197 g (6.95 oz),197.0,6.95
Huawei nova 6 SE,Huawei,nova 6 SE,2019-12-01,2019.0,6.4,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Emerald Green, Light Pink/Blue",280.0,4200.0,8.0,183 g (6.46 oz),183.0,6.46
Huawei MatePad Pro,Huawei,MatePad Pro,2019-12-01,2019.0,10.8,128.0,13.0,"LED flash, HDR, panorama","Yes, with stereo speakers (4 speakers)","Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS (LTE model only)","Gray, White, Green, Orange",450.0,7250.0,6.0,460 g (1.01 lb),460.0,16.16
Huawei Y9s,Huawei,Y9s,2019-11-01,2019.0,6.59,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Midnight Black, Breathing Crystal, Phantom Purple",,4000.0,6.0,206 g (7.27 oz),206.0,7.27
Huawei nova 5z,Huawei,nova 5z,2019-11-01,2019.0,6.26,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS","Black, Aurora, Emerald Green",200.0,4000.0,6.0,178 g (6.28 oz),178.0,6.28
Huawei Enjoy 10s,Huawei,Enjoy 10s,2019-11-01,2019.0,6.3,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Breathing Crystal, Midnight Black, Emerald Green",200.0,4000.0,6.0,163 g (5.75 oz),163.0,5.75
Huawei Enjoy 10,Huawei,Enjoy 10,2019-11-01,2019.0,6.39,64.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Aurora blue, Acacia red, Magic night black, Sky blue",150.0,4000.0,4.0,176 g (6.21 oz),176.0,6.21
Huawei Mate 30 RS Porsche Design,Huawei,Mate 30 RS Porsche Design,2019-11-01,2019.0,6.53,512.0,40.0,"Leica optics, dual-LED dual-tone flash, panorama, HDR","Yes, with stereo speakers","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Red",1700.0,4500.0,12.0,198 g (6.98 oz),198.0,6.98
Huawei Mate 30 Pro 5G,Huawei,Mate 30 Pro 5G,2019-10-01,2019.0,6.53,128.0,40.0,"Leica optics, dual-LED dual-tone flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Space Silver, Cosmic Purple, Emerald Green, Orange, Forest Green",,4500.0,8.0,198 g (6.98 oz),198.0,6.98
Huawei Mate 30 Pro,Huawei,Mate 30 Pro,2019-09-01,2019.0,6.53,128.0,40.0,"Leica optics, dual-LED dual-tone flash, panorama, HDR",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Space Silver, Cosmic Purple, Emerald Green",,4500.0,8.0,198 g (6.98 oz),198.0,6.98
Huawei Mate 30 5G,Huawei,Mate 30 5G,2019-10-01,2019.0,6.62,128.0,40.0,"Leica optics, dual-LED dual-tone flash, panorama, HDR","Yes, with stereo speakers","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Space Silver, Cosmic Purple, Emerald Green, Orange, Forest Green",650.0,4200.0,6.0,196 g (6.91 oz),196.0,6.91
Huawei Mate 30,Huawei,Mate 30,2019-09-01,2019.0,6.62,128.0,40.0,"Leica optics, dual-LED dual-tone flash, panorama, HDR","Yes, with stereo speakers","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Space Silver, Cosmic Purple, Emerald Green",550.0,4200.0,6.0,196 g (6.91 oz),196.0,6.91
Huawei nova 5i Pro,Huawei,nova 5i Pro,2019-07-01,2019.0,6.26,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS","Black, Aurora, Emerald Green",290.0,4000.0,6.0,178 g (6.28 oz),178.0,6.28
Huawei Enjoy 10 Plus,Huawei,Enjoy 10 Plus,2019-09-01,2019.0,6.59,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Red Tea Orange, Emerald, Gradient, Magic Night Black",190.0,4000.0,4.0,163.5 g (5.78 oz),163.5,5.78
Huawei nova 5T,Huawei,nova 5T,2019-09-01,2019.0,6.26,128.0,48.0,"LED flash, HDR, panorama",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Black, Crush Blue, Midsummer Purple, Crush Green",263.41,3750.0,6.0,174 g (6.14 oz),174.0,6.14
