id,brand,model,date,year,display_size_inches,internal_memory_in_gb,primary_camera_mega_pixel,primary_camera,loud_speaker,gps,colors,approx_price_eur,battery_mah,ram_in_gb,weight,weight_g,weight_oz
ZTE Blade A7 Prime,ZTE,Blade A7 Prime,2019-11-01,2019.0,6.09,32.0,16.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS",Silver,90.0,3200.0,3.0,165 g (5.82 oz),165.0,5.82
ZTE Blade 10 Prime,ZTE,Blade 10 Prime,2019-11-01,2019.0,6.3,64.0,16.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS",Black,160.0,3200.0,3.0,165 g (5.82 oz),165.0,5.82
ZTE Blade 20,ZTE,Blade 20,2019-10-01,2019.0,6.49,128.0,16.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS","Turquoise, Magic red",130.0,5000.0,4.0,190 g (6.70 oz),190.0,6.7
ZTE nubia Red Magic 3s,ZTE,nubia Red Magic 3s,2019-09-01,2019.0,6.65,128.0,48.0,"LED flash, HDR, panorama","Yes, with stereo speakers","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO","Mecha Silver, Cyber Shade, Eclipse Black",820.0,5000.0,8.0,215 g (7.58 oz),215.0,7.58
ZTE nubia Z20,ZTE,nubia Z20,2019-08-01,2019.0,6.42,128.0,48.0,"Dual-LED dual-tone flash, second soft flash, HDR, panorama",Yes,"Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO","Twilight Blue, Diamond Black",550.0,4000.0,6.0,186 g (6.56 oz),186.0,6.56
ZTE nubia X 5G,ZTE,nubia X 5G,2019-07-01,2019.0,6.26,64.0,16.0,"Dual-LED dual-tone flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Blue Gold, Sea Blue, Black Gold, Deep Gray, Starry Night (512 GB only)",,3800.0,6.0,-,,
ZTE Blade A5 (2019),ZTE,Blade A5 (2019),2019-05-01,2019.0,5.45,16.0,13.0,"LED flash, HDR",Yes,"Yes, with A-GPS, GLONASS","Black, Blue",80.0,2600.0,2.0,157 g (5.54 oz),157.0,5.54
ZTE Blade A3 (2019),ZTE,Blade A3 (2019),2019-04-01,2019.0,5.0,16.0,8.0,"LED flash, HDR",Yes,"Yes, with A-GPS, GLONASS","Black, Blue",60.0,2000.0,1.0,144 g (5.08 oz),144.0,5.08
ZTE Blade L8,ZTE,Blade L8,2019-04-01,2019.0,5.0,16.0,8.0,"LED flash, HDR",Yes,"Yes, with A-GPS, GLONASS","Black, Blue",60.0,2000.0,1.0,144 g (5.08 oz),144.0,5.08
ZTE nubia Red Magic 3,ZTE,nubia Red Magic 3,2019-05-01,2019.0,6.65,64.0,48.0,"LED flash, HDR, panorama","Yes, with stereo speakers","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO","Black, Red, Camouflage, Red/Blue",500.0,5000.0,6.0,215 g (7.58 oz),215.0,7.58
ZTE Axon 10 Pro,ZTE,Axon 10 Pro,2019-05-01,2019.0,6.47,128.0,48.0,"Dual-LED dual-tone flash, HDR, panorama","Yes, with stereo speakers","Yes, with A-GPS, GLONASS, GALILEO, BDS",Blue,470.0,4000.0,6.0,175 g (6.17 oz),175.0,6.17
ZTE Blade V10 Vita,ZTE,Blade V10 Vita,2019-03-01,2019.0,6.26,32.0,13.0,"LED flash, HDR",Yes,"Yes, with A-GPS, GLONASS","Black, Green",,3200.0,2.0,150 g (5.29 oz),150.0,5.29
ZTE Blade A7 Vita,ZTE,Blade A7 Vita,2018-12-01,2018.0,5.45,16.0,13.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, BDS","Black, Blue",150.0,3200.0,2.0,135 g (4.76 oz),135.0,4.76
ZTE Blade A7,ZTE,Blade A7,2019-05-01,2019.0,6.01,32.0,16.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, BDS","Black, Blue, Black/blue",80.0,3200.0,2.0,146 g (5.15 oz),146.0,5.15
ZTE V889M,ZTE,V889M,2012-12-01,2012.0,4.0,4.0,5.0,,Yes,"Yes, with A-GPS",Black,100.0,1650.0,0.4980544747081712,-,,
ZTE N880E,ZTE,N880E,2012-05-01,2012.0,4.0,4.0,15.0,,Yes,"Yes, with A-GPS",Black,,1650.0,0.4980544747081712,130 g (4.59 oz),130.0,4.59
ZTE Skate Acqua,ZTE,Skate Acqua,2012-12-01,2012.0,4.0,4.0,5.0,LED flash,Yes,"Yes, with A-GPS","Black, White",,1600.0,0.4980544747081712,-,,
ZTE Sage,ZTE,Sage,2010-01-01,2010.0,,0.009727626459143969,3.0,,Yes,No,Black,,,,80 g (2.82 oz),80.0,2.82
Samsung Galaxy M01,Samsung,Galaxy M01,2020-06-01,2020.0,5.7,32.0,13.0,LED flash,Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Black, Blue, Red",110.0,4000.0,3.0,168 g (5.93 oz),168.0,5.93
Samsung Galaxy A21s,Samsung,Galaxy A21s,2020-06-01,2020.0,6.5,32.0,48.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Black, White, Blue, Red",204.75,5000.0,3.0,192 g (6.77 oz),192.0,6.77
Samsung Galaxy J2 Core (2020),Samsung,Galaxy J2 Core (2020),2020-04-01,2020.0,5.0,16.0,8.0,"LED flash, HDR, panorama",Yes,"Yes, with A-GPS, GLONASS, BDS","Black, Gold, Blue",120.0,2600.0,1.0,154 g (5.43 oz),154.0,5.43
Samsung Galaxy A Quantum,Samsung,Galaxy A Quantum,2020-05-01,2020.0,6.7,128.0,64.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Prism Cube Black, Prism Cube Sliver, Prism Cube Blue",500.0,4500.0,8.0,185 g (6.53 oz),185.0,6.53
Samsung Galaxy A71 5G,Samsung,Galaxy A71 5G,2020-06-01,2020.0,6.7,128.0,64.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Prism Cube Black, Prism Cube Sliver, Prism Cube Blue",,4500.0,6.0,185 g (6.53 oz),185.0,6.53
Samsung Galaxy A51 5G,Samsung,Galaxy A51 5G,2020-04-01,2020.0,6.5,128.0,48.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Prism Cube Black, Prism Cube White, Prism Cube Pink",430.0,4500.0,6.0,187 g (6.60 oz),187.0,6.6
Samsung Galaxy A21,Samsung,Galaxy A21,2020-06-01,2020.0,6.5,32.0,16.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, BDS",Black,204.75,4000.0,3.0,-,,
Samsung Galaxy M11,Samsung,Galaxy M11,2020-05-01,2020.0,6.4,32.0,13.0,"LED flash, panorama, HDR",Yes,"Yes, with A-GPS, GLONASS, GALILEO, BDS","Black, Metallic Blue, Violet",,5000.0,3.0,197 g (6.95 oz),197.0,6.95
